#cameras 128
#name,x,y,z,omega,phi,kappa
ghazanchecoc sirun ptuyt 83.jpg,-14.64181422859814,1.402661743597415,30.78716776653709,88.54031503180509,2.106490089985387,-47.30342085119267
ghazanchecoc sirun ptuyt 84.jpg,-15.29132868371078,-0.6349147178154446,30.7711639122484,83.52769470025929,8.032367461242423,-48.24159799749529
ghazanchecoc sirun ptuyt 85.jpg,-15.930058387939,-2.694612965586793,30.77905005224476,79.12227320490428,13.56904660463207,-48.94308403560699
ghazanchecoc sirun ptuyt 86.jpg,-16.5217605900721,-4.801751744138404,30.79290932103974,75.31256004798995,18.74033133897501,-49.4282640201932
ghazanchecoc sirun ptuyt 87.jpg,-16.9547257091279,-6.940140750982996,30.80066118036137,71.94697483710874,23.6389285548769,-49.7350748650762
ghazanchecoc sirun ptuyt 88.jpg,-17.21402885338306,-9.095074832719988,30.78297550735925,68.9792126876462,28.23608582565181,-49.87862504017178
ghazanchecoc sirun ptuyt 89.jpg,-17.25441141318312,-11.21426098517456,30.78103415358963,66.25677434943562,32.52663521356212,-49.7965471238334
ghazanchecoc sirun ptuyt 91.jpg,-16.72255090347866,-15.3155029051275,30.77111461960621,61.26703858626466,40.38401476264814,-48.91321804181025
ghazanchecoc sirun ptuyt 93.jpg,-15.57072627130911,-19.2063222281551,30.74426583828039,56.10788516848783,47.16124959229255,-46.70343039003045
ghazanchecoc sirun ptuyt 95.jpg,-13.80477553547422,-22.8373451836341,30.72445025694969,50.0344264429985,53.36000499179706,-42.94917839468096
ghazanchecoc sirun ptuyt 01.jpg,5.293431661305039,-45.21134378660683,30.06684881693842,-20.83031093285013,72.15762866523259,19.821731462607
ghazanchecoc sirun ptuyt 03.jpg,5.28621632804208,-45.21602407133388,30.06117549826929,-20.78589079934452,72.11726256044084,19.79542625769459
ghazanchecoc sirun ptuyt 05.jpg,5.329143156371615,-45.21066066204441,30.05842252097429,-21.60085152533549,72.07823730445955,20.64974607777206
ghazanchecoc sirun ptuyt 07.jpg,5.767783702277136,-45.20400143626619,30.0742638670871,-27.33086621495373,71.38376629480054,26.09467955068421
ghazanchecoc sirun ptuyt 09.jpg,6.496921752833125,-45.11252065270189,30.07326539659891,-32.76112109106589,70.49305497884892,31.22224774046873
ghazanchecoc sirun ptuyt 11.jpg,7.296450345984052,-44.98010179371319,30.02495936112431,-34.74580865099775,70.0582987709745,33.09905197531677
ghazanchecoc sirun ptuyt 13.jpg,8.117290555652499,-44.84844396088441,29.99502859582894,-35.26950408754844,69.901168997151,33.60765557798901
ghazanchecoc sirun ptuyt 15.jpg,9.123992146651926,-44.67198676518281,30.00473998927421,-38.33719171579714,69.13202705459226,36.47754697635714
ghazanchecoc sirun ptuyt 17.jpg,10.27515184288754,-44.48939124028621,29.99883019154972,-41.63374509626975,68.24318793737299,39.56219779642336
ghazanchecoc sirun ptuyt 19.jpg,11.59713023491369,-44.18432534005376,30.00281431258758,-45.28801938387607,67.04681421825819,42.95457631409922
ghazanchecoc sirun ptuyt 21.jpg,13.17225122697083,-43.74099833643967,30.01798880717621,-49.63509677717234,65.27744329129936,46.92621941765202
ghazanchecoc sirun ptuyt 23.jpg,14.96714305975111,-43.14307469767374,30.00315699647531,-53.66745489822437,63.33613659399936,50.54595602353375
ghazanchecoc sirun ptuyt 25.jpg,16.92888989727962,-42.36360272759436,29.97185952872199,-57.18981292313956,61.21327491425296,53.63755813504073
ghazanchecoc sirun ptuyt 27.jpg,19.04992488827641,-41.37760431821984,29.96160509917513,-60.53333117753017,58.82681080661419,56.50272319576377
ghazanchecoc sirun ptuyt 29.jpg,21.27016020121435,-40.21699571823407,29.98829621145625,-63.4572475983632,56.40247919193037,58.98395743221352
ghazanchecoc sirun ptuyt 31.jpg,23.54386534375302,-38.80077146571586,29.99162607870962,-66.05747291661955,53.77282906729168,61.10393834500042
ghazanchecoc sirun ptuyt 33.jpg,25.77386137966461,-37.1708882013759,30.02258785273379,-68.21978276298216,51.25987887103887,62.78078365458041
ghazanchecoc sirun ptuyt 35.jpg,27.82830018016642,-35.33435401182724,30.05046662259762,-69.89483916920013,48.9615076423948,64.00032536623328
ghazanchecoc sirun ptuyt 37.jpg,29.61966407899091,-33.31011543811013,30.08360509831958,-71.29062331767646,46.77521107474801,64.90843762970388
ghazanchecoc sirun ptuyt 39.jpg,31.20627298277307,-31.11816033195016,30.10123904381973,-72.91179853078292,44.18220847840819,66.00768917440564
ghazanchecoc sirun ptuyt 41.jpg,32.51186621561458,-28.73239960681048,30.1232204304984,-74.35265321442715,41.3736949604383,66.80240730608651
ghazanchecoc sirun ptuyt 43.jpg,33.60079703486974,-26.19831022724939,30.14374780044987,-75.80636878413431,38.35600140498548,67.51085438407758
ghazanchecoc sirun ptuyt 45.jpg,34.47822877543378,-23.48021551168639,30.17642782144036,-77.35001324591265,34.70789402760187,68.1464889068271
ghazanchecoc gmbet skizb 014.jpg,-26.40270722643449,-16.28878751427375,20.09684081506878,88.99850583773512,24.40084975013387,-88.9898222626511
ghazanchecoc gmbet skizb 015.jpg,-25.61850198585439,-16.03674231214487,20.08242633611807,88.99968772742309,24.41481719691661,-89.00774238695942
ghazanchecoc gmbet skizb 016.jpg,-24.80756391977144,-15.76606506179031,20.07131901726584,89.02855942727433,24.41228671258872,-89.06232096452149
ghazanchecoc gmbet skizb 017.jpg,-23.95641915811343,-15.49247844710204,20.06078369776058,89.0250875838579,24.40481358621513,-89.08308998731047
ghazanchecoc gmbet skizb 018.jpg,-23.08392219699054,-15.21965438666898,20.04636996025137,89.0327987539613,24.39694126745324,-89.12668945680393
ghazanchecoc gmbet skizb 019.jpg,-22.19129150203693,-14.9396396573785,20.03821929414395,89.06410789041013,24.42991175424843,-89.18225751754844
ghazanchecoc gmbet skizb 020.jpg,-21.28306770728731,-14.63756604374273,19.98931497896723,89.09349245269418,24.39405554237849,-89.27415622680343
ghazanchecoc gmbet skizb 021.jpg,-20.36083813595234,-14.30346553161065,19.88800917437099,89.12220492128495,24.42590895471299,-89.27138362378676
ghazanchecoc gmbet skizb 022.jpg,-19.41713277332176,-13.96256761864271,19.76437433421695,89.13833116329133,24.46828974805501,-89.35997183569592
ghazanchecoc gmbet skizb 023.jpg,-18.46700704814593,-13.6078345221674,19.64660766481518,89.16911774779503,24.46935637905937,-89.38667697942715
ghazanchecoc gmbet skizb 024.jpg,-17.48669189937506,-13.26049982233269,19.53092744476896,89.16456912203681,24.55773477419078,-89.4008073442442
ghazanchecoc gmbet skizb 025.jpg,-16.48797130195375,-12.90244247374591,19.41387880582911,89.18184046525315,24.57157977102826,-89.44934926862959
ghazanchecoc gmbet skizb 026.jpg,-15.47592617501324,-12.53220621028685,19.29276503200454,89.20697535310977,24.61053794149802,-89.47239205812961
ghazanchecoc gmbet skizb 027.jpg,-14.44561519297667,-12.1650711607115,19.17497130926575,89.23759931936355,24.59659215929389,-89.53845731741268
ghazanchecoc gmbet skizb 028.jpg,-13.38371171888825,-11.80477111874821,19.09404569737736,89.30820056872659,24.63678096396855,-89.67507987886771
ghazanchecoc gmbet skizb 029.jpg,-12.30568914798471,-11.44733496539592,19.02541942081453,89.32512056292765,24.59862647769044,-89.74148311617502
ghazanchecoc gmbet skizb 030.jpg,-11.23341061328915,-11.06070602710109,18.97082674804691,89.38078913730726,24.56665222882707,-89.82258377840951
ghazanchecoc gmbet skizb 031.jpg,-10.17166323978839,-10.66542550728002,18.90496977265832,89.426370577724,24.59422481229513,-89.91187413680534
ghazanchecoc gmbet skizb 032.jpg,-9.123103858656574,-10.25203988512752,18.82929551559481,89.48484537466027,24.60369910632788,-90.07011599466513
ghazanchecoc gmbet skizb 033.jpg,-8.041001359333393,-9.773474830170194,18.75084808201006,89.51579882399854,25.73754347365239,-90.11100951337797
ghazanchecoc gmbet skizb 034.jpg,-6.897939862643806,-9.274285569234479,18.69125403680339,89.42115009984664,29.17191010489651,-89.9372726376495
ghazanchecoc gmbet skizb 035.jpg,-5.838481270293993,-8.830005078623088,18.64185804890756,89.40685954021321,32.22395986740837,-89.90684526521419
ghazanchecoc gmbet skizb 036.jpg,-4.752647942853237,-8.342875362424641,18.6534445361951,89.09153872243891,35.03988258003665,-89.32787702351023
ghazanchecoc gmbet skizb 037.jpg,-3.594756427324579,-7.828173786088431,18.63488016006929,88.82997463167426,37.27688752257673,-88.93651522359551
ghazanchecoc gmbet skizb 038.jpg,-2.499871049466665,-7.278959055892269,18.62409910356355,89.0213191633482,40.7381353696731,-89.36962079081121
ghazanchecoc gmbet skizb 039.jpg,-1.301435675690231,-6.667835026972993,18.6487417113536,88.9203750344159,45.21968513389283,-89.25214245902758
ghazanchecoc gmbet skizb 040.jpg,-6.027378160756713e-002,-5.979435048050837,18.62134953741707,88.58327707957326,50.47484712921089,-88.88288498037339
ghazanchecoc gmbet skizb 041.jpg,1.188660872316865,-5.222973343720184,18.58047359290922,88.54940021611739,55.50193353249111,-88.93386357426179
ghazanchecoc gmbet skizb 042.jpg,2.376487220243433,-4.452660839315028,18.55521403087907,88.83058119281681,60.43194255571815,-89.35314507428598
